G4WT6 >      Cr_sctns:  Glauber-Gribov Nucl-nucl: 0 eV  ---> 25.6 PeV
G4WT6 > 
G4WT6 > *********************************************************************************************************
G4WT6 > * G4Track Information:   Particle = opticalphoton,   Track ID = 1,   Parent ID = 0
G4WT6 > *********************************************************************************************************
G4WT6 > 
G4WT6 > Step#    X(mm)    Y(mm)    Z(mm) KinE(MeV)  dE(MeV) StepLeng TrackLeng  NextVolume ProcName
G4WT6 >    89    -17.6     -2.5 -1.21e+03   2.6e-06        0        0  1.41e+03    rect_mid Transportation
G4WT6 >    90    0.883      2.5 -1.25e+03   2.6e-06        0     44.7  1.45e+03       World Transportation
G4WT6 >    91    0.883      2.5 -1.25e+03   2.6e-06        0        0  1.45e+03    rect_mid Transportation
G4WT6 >    92     19.4     -2.5 -1.29e+03   2.6e-06        0     44.7   1.5e+03       World Transportation
G4WT6 >    93     19.4     -2.5 -1.29e+03   2.6e-06        0        0   1.5e+03    rect_mid Transportation
G4WT6 >    94       25   -0.978 -1.31e+03   2.6e-06        0     13.6  1.51e+03       World Transportation
G4WT6 >    95       25   -0.978 -1.31e+03   2.6e-06        0        0  1.51e+03    rect_mid Transportation
G4WT6 >    96     12.1      2.5 -1.34e+03   2.6e-06        0     31.1  1.54e+03       World Transportation
G4WT6 >    97     12.1      2.5 -1.34e+03   2.6e-06        0        0  1.54e+03    rect_mid Transportation
G4WT6 >    98    -6.35     -2.5 -1.38e+03   2.6e-06        0     44.7  1.59e+03       World Transportation
G4WT6 >    99    -6.35     -2.5 -1.38e+03   2.6e-06        0        0  1.59e+03    rect_mid Transportation
G4WT6 >   100    -24.8      2.5 -1.42e+03   2.6e-06        0     44.7  1.63e+03       World Transportation
G4WT6 >   101    -24.8      2.5 -1.42e+03   2.6e-06        0        0  1.63e+03    rect_mid Transportation
G4WT6 >   102      -25     2.46 -1.42e+03   2.6e-06        0    0.394  1.63e+03       World Transportation
G4WT6 >   103      -25     2.46 -1.42e+03   2.6e-06        0        0  1.63e+03    rect_mid Transportation
G4WT6 >   104    -6.67     -2.5 -1.46e+03   2.6e-06        0     44.4  1.68e+03       World Transportation
G4WT6 >   105    -6.67     -2.5 -1.46e+03   2.6e-06        0        0  1.68e+03    rect_mid Transportation
G4WT6 >   106     11.8      2.5 -1.5e+03   2.6e-06        0     44.7  1.72e+03       World Transportation
G4WT6 >   107     11.8      2.5 -1.5e+03   2.6e-06        0        0  1.72e+03    rect_mid Transportation
G4WT6 >   108       25    -1.07 -1.53e+03   2.6e-06        0     31.9  1.75e+03       World Transportation
G4WT6 >   109       25    -1.07 -1.53e+03   2.6e-06        0        0  1.75e+03    rect_mid Transportation
G4WT6 >   110     19.7     -2.5 -1.54e+03   2.6e-06        0     12.8  1.77e+03       World Transportation
G4WT6 >   111     19.7     -2.5 -1.54e+03   2.6e-06        0        0  1.77e+03    rect_mid Transportation
G4WT6 >   112     1.21      2.5 -1.58e+03   2.6e-06        0     44.7  1.81e+03       World Transportation
G4WT6 >   113     1.21      2.5 -1.58e+03   2.6e-06        0        0  1.81e+03    rect_mid Transportation
G4WT6 >   114    -17.3     -2.5 -1.62e+03   2.6e-06        0     44.7  1.86e+03       World Transportation
G4WT6 >   115    -17.3     -2.5 -1.62e+03   2.6e-06        0        0  1.86e+03    rect_mid Transportation
G4WT6 >   116      -25   -0.412 -1.64e+03   2.6e-06        0     18.7  1.88e+03       World Transportation
G4WT6 >   117      -25   -0.412 -1.64e+03   2.6e-06        0        0  1.88e+03    rect_mid Transportation
G4WT6 >   118    -14.2      2.5 -1.66e+03   2.6e-06        0     26.1   1.9e+03       World Transportation
G4WT6 >   119    -14.2      2.5 -1.66e+03   2.6e-06        0        0   1.9e+03    rect_mid Transportation
G4WT6 >   120     4.26     -2.5 -1.7e+03   2.6e-06        0     44.7  1.95e+03       World Transportation
G4WT6 >   121     4.26     -2.5 -1.7e+03   2.6e-06        0        0  1.95e+03    rect_mid Transportation
G4WT6 >   122     22.7      2.5 -1.74e+03   2.6e-06        0     44.7  1.99e+03       World Transportation
G4WT6 >   123     22.7      2.5 -1.74e+03   2.6e-06        0        0  1.99e+03    rect_mid Transportation
G4WT6 >   124       25     1.89 -1.74e+03   2.6e-06        0     5.45     2e+03       World Transportation
G4WT6 >   125 3.57e+03      961 -9.5e+03   2.6e-06        0 8.58e+03  1.06e+04  OutOfWorld Transportation
G4WT6 > SCORING1: PostVolume == tank:  calling fStopAndKill
G4WT6 > 0x0
G4WT6 > 
G4WT6 > *********************************************************************************************************
G4WT6 > * G4Track Information:   Particle = opticalphoton,   Track ID = 1,   Parent ID = 0
G4WT6 > *********************************************************************************************************
G4WT6 > 
G4WT6 > Step#    X(mm)    Y(mm)    Z(mm) KinE(MeV)  dE(MeV) StepLeng TrackLeng  NextVolume ProcName
G4WT6 >     0        0        0       60   2.6e-06        0        0         0       Scint initStep
G4WT6 >     1    0.496     -2.5       62   2.6e-06        0     3.26      3.26       World Transportation
G4WT6 > FresnelRefraction: Scint World ... calling fStopAndKill
G4WT6 > 
G4WT6 >  Histogram statistics for the local thread:
G4WT6 > 
G4WT6 > 
G4WT6 > 
G4WT6 > Photons that reached the end: 0
G4WT6 > 
G4WT6 > Photons in middle: 1
G4WT6 > 
G4WT6 > Efficiency: 0
G4WT6 > Efficiency for Not Trapped: nan
